Date,Start,End,Lesson,Course,Location,Status,Marked (present/total),Notes
2/9/2026,09:00,10:30,Inequalities,Mathematics 7A,,Scheduled,0/0,
2/9/2026,09:00,10:30,Mathematics 7B - Lesson 3,Mathematics 7B,,Scheduled,0/0,
2/9/2026,09:00,10:30,"Work, Energy & Power",Physics 10 Mechanics,,Scheduled,0/0,
2/9/2026,09:00,10:30,Physics 10 Electricity - Lesson 3,Physics 10 Electricity,,Scheduled,0/0,
4/9/2026,09:00,10:30,Coordinate Geometry,Mathematics 7A,,Scheduled,0/0,
4/9/2026,09:00,10:30,Mathematics 7B - Lesson 4,Mathematics 7B,,Scheduled,0/0,
4/9/2026,09:00,10:30,Momentum & Collisions,Physics 10 Mechanics,,Scheduled,0/0,
4/9/2026,09:00,10:30,Physics 10 Electricity - Lesson 4,Physics 10 Electricity,,Scheduled,0/0,
6/9/2026,09:00,10:30,Mathematics 7A - Lesson 5,Mathematics 7A,,Scheduled,0/0,
6/9/2026,09:00,10:30,Mathematics 7B - Lesson 5,Mathematics 7B,,Scheduled,0/0,
6/9/2026,09:00,10:30,Physics 10 Mechanics - Lesson 5,Physics 10 Mechanics,,Scheduled,0/0,
6/9/2026,09:00,10:30,Physics 10 Electricity - Lesson 5,Physics 10 Electricity,,Scheduled,0/0,
